PROJECT_ID,COHORTTRM_DESC,CH_ENRLTYPE,CHRTTYPE,CRSLOAD,GRAD_YRS,BESTMATH,BESTENGL,BESTCOMP,HS_ACAD_AVG,HS_OVERALL_AVG,AGE_MONTHS,GENDER,FOREIGN,COUNTRY_DESC,LA_RESIDENT,HOMEZIPCODE,EXP_FAM_CONTRIB,INCOME,FIRST_GEN_FLAG,PELL,TOPS,ATHLETE,GREEK_ENTRY,VETERAN_STATUS,HS_TOP_10,HS_TOP_25,HS_TOP_50,HS_BOTTOM_25,HS_BOTTOM_50,CH_CURRICULUM_1,CH_COLLEGE_1,CH_CURRIC_COLLEGE,YR1_FALL_ON_CAMPUS,YR1_SPRING_ON_CAMPUS,YR2_FALL_ON_CAMPUS,YR2_SPRING_ON_CAMPUS,YR3_FALL_ON_CAMPUS,YR3_SPRING_ON_CAMPUS,YR4_FALL_ON_CAMPUS,YR4_SPRING_ON_CAMPUS,YR5_FALL_ON_CAMPUS,YR5_SPRING_ON_CAMPUS,YR6_FALL_ON_CAMPUS,YR6_SPRING_ON_CAMPUS,YR7_FALL_ON_CAMPUS,YR7_SPRING_ON_CAMPUS,YR8_FALL_ON_CAMPUS,YR8_SPRING_ON_CAMPUS,YR1_FALL_SEM_GPA,YR1_SPRING_SEM_GPA,YR2_FALL_SEM_GPA,YR2_SPRING_SEM_GPA,YR3_FALL_SEM_GPA,YR3_SPRING_SEM_GPA,YR4_FALL_SEM_GPA,YR4_SPRING_SEM_GPA,YR5_FALL_SEM_GPA,YR5_SPRING_SEM_GPA,YR6_FALL_SEM_GPA,YR6_SPRING_SEM_GPA,YR7_FALL_SEM_GPA,YR7_SPRING_SEM_GPA,YR8_FALL_SEM_GPA,YR8_SPRING_SEM_GPA,YR1_FALL_LSU_GPA,YR1_SPRING_LSU_GPA,YR2_FALL_LSU_GPA,YR2_SPRING_LSU_GPA,YR3_FALL_LSU_GPA,YR3_SPRING_LSU_GPA,YR4_FALL_LSU_GPA,YR4_SPRING_LSU_GPA,YR5_FALL_LSU_GPA,YR5_SPRING_LSU_GPA,YR6_FALL_LSU_GPA,YR6_SPRING_LSU_GPA,YR7_FALL_LSU_GPA,YR7_SPRING_LSU_GPA,YR8_FALL_LSU_GPA,YR8_SPRING_LSU_GPA,YR1_FALL_CUM_GPA,YR1_SPRING_CUM_GPA,YR2_FALL_CUM_GPA,YR2_SPRING_CUM_GPA,YR3_FALL_CUM_GPA,YR3_SPRING_CUM_GPA,YR4_FALL_CUM_GPA,YR4_SPRING_CUM_GPA,YR5_FALL_CUM_GPA,YR5_SPRING_CUM_GPA,YR6_FALL_CUM_GPA,YR6_SPRING_CUM_GPA,YR7_FALL_CUM_GPA,YR7_SPRING_CUM_GPA,YR8_FALL_CUM_GPA,YR8_SPRING_CUM_GPA,YR1_FALL_CUM_HRS_CARR,YR1_SPRING_CUM_HRS_CARR,YR2_FALL_CUM_HRS_CARR,YR2_SPRING_CUM_HRS_CARR,YR3_FALL_CUM_HRS_CARR,YR3_SPRING_CUM_HRS_CARR,YR4_FALL_CUM_HRS_CARR,YR4_SPRING_CUM_HRS_CARR,YR5_FALL_CUM_HRS_CARR,YR5_SPRING_CUM_HRS_CARR,YR6_FALL_CUM_HRS_CARR,YR6_SPRING_CUM_HRS_CARR,YR7_FALL_CUM_HRS_CARR,YR7_SPRING_CUM_HRS_CARR,YR8_FALL_CUM_HRS_CARR,YR8_SPRING_CUM_HRS_CARR,YR1_FALL_CUM_HRS_EARN,YR1_SPRING_CUM_HRS_EARN,YR2_FALL_CUM_HRS_EARN,YR2_SPRING_CUM_HRS_EARN,YR3_FALL_CUM_HRS_EARN,YR3_SPRING_CUM_HRS_EARN,YR4_FALL_CUM_HRS_EARN,YR4_SPRING_CUM_HRS_EARN,YR5_FALL_CUM_HRS_EARN,YR5_SPRING_CUM_HRS_EARN,YR6_FALL_CUM_HRS_EARN,YR6_SPRING_CUM_HRS_EARN,YR7_FALL_CUM_HRS_EARN,YR7_SPRING_CUM_HRS_EARN,YR8_FALL_CUM_HRS_EARN,YR8_SPRING_CUM_HRS_EARN,AC_ACT1,AC_ACT2,AC_ACT3,AC_ACT4,AC_ACT5,AC_ACT6,AC_ACT7,AC_ACT8,AC_ACT9,AC_ACT10,AC_ACT11,AC_ACT12,AC_ACT13,AC_ACT14,AC_ACT15,AC_ACT16,SLATE_HS_TYPE
9987702,Fall 2018,Campus,F,Full-time,4.0,26.0,23.0,30.0,4.0,3.96,226,M,,United States,1.0,70769,55888.0,25350.0,N,0,1,,1,N,,1.0,1.0,,,PART,UCFY,ADSN,,,,,,,,,,,,,,,,,2.675,2.061,3.36,,3.12,3.425,2.3,,,,,,,,,,0.8,3.04,3.712,2.603,2.722,,2.429,,2.993,,,,,,,,3.7,2.034,2.973,2.576,4.145,3.811,,3.833,,,,,,,,,21.0,30.0,47.0,,71.0,,,,117.0,,,,,,,,93.0,41.0,45.0,,107.0,93.0,116.0,107.0,,,,,,,,,Good,Drop,Good,Good,,Good,,,Good,,,,,,,,Religious
7820700,Fall 2011,Campus,F,Full-time,4.0,,34.0,28.0,3.86,3.72,225,M,,United States,,28278,5603.0,1000000.0,Y,0,1,,0,N,1.0,,,,,UNSE,UCFY,UCFY,Y,Y,Y,,,,,,,,,,,,,,3.594,3.65,3.307,3.692,1.86,,,3.94,2.923,,,,,,,,2.666,3.312,3.244,3.2,2.064,3.903,2.155,,,,,,,,,,3.754,2.96,3.39,,3.638,,2.615,,2.661,,,,,,,,15.0,26.0,30.0,70.0,,,,,,,,,,,,,31.0,30.0,,59.0,60.0,,80.0,110.0,,,,,,,,,Prob,Good,Good,Good,,Good,Good,,,,,,,,,,Public
310262,Fall 2017,Campus,F,Full-time,,24.0,30.0,24.0,2.22,3.89,227,M,,United States,1.0,70121,319.0,,Y,0,1,,1,N,,,1.0,,,PBADM,UCAC,UCAC,Y,,,,,,,,,,,,,,,,3.74,3.625,3.238,4.069,,,,,,,,,,,,,,2.938,3.282,,2.944,2.922,3.479,,2.751,,,,2.099,,,,3.214,,3.478,,,3.696,1.951,3.511,,,,,,,,,17.0,,45.0,118.0,66.0,,95.0,,,,,,,,,,18.0,,49.0,108.0,77.0,,,123.0,,,,,,,,,Good,Good,Good,Good,Good,Good,Good,,,,,,,,,,
4250526,Fall 2019,Campus,F,Full-time,5.0,29.0,,26.0,3.9,3.93,219,F,,United States,1.0,70003,8511.0,443468.0,Y,1,1,,0,N,,,,,,ENGL,UCFY,HSS,Y,Y,,,Y,,,,,,,,,,,,2.6,3.225,3.06,3.923,,2.6,,,,,,,,,,,3.0,3.666,3.391,,2.808,3.005,,2.426,,,,,,,,,3.805,2.357,,3.133,,,2.376,,,,,,,,,,24.0,30.0,,58.0,,,112.0,101.0,,,,,,,,,41.0,34.0,66.0,77.0,,,116.0,,,,,,,,,,Good,Good,,Prob,Good,,Good,,,,,,,,,,Religious
7003625,Fall 2018,Campus,T,Full-time,4.0,19.0,28.0,21.0,2.88,3.46,219,F,,United States,1.0,70079,0.0,,N,0,1,,0,N,1.0,,1.0,,1.0,NREM,UCFY,AGRI,N,,,,,,,,,,,,,,,,1.921,2.476,3.716,4.15,1.623,3.464,,3.318,,,,,,,,,3.928,1.333,3.003,2.3,,,,,,2.068,,,,,,,2.425,3.708,1.933,,,3.855,,,,,,,,,,,18.0,30.0,18.0,65.0,,,,,,,,,,,,,12.0,42.0,,,75.0,,90.0,,,,,,,,,,Good,Good,Good,,,,,,,,,,,,,,Public
5604742,Fall 2020,Campus,F,Full-time,4.0,19.0,35.0,22.0,3.9,3.3,228,F,,United States,1.0,70471,,44009.0,,0,0,,0,N,,,,,,GBUS,UCFY,BADM,Y,,,,,,,,,,,,,,,,1.1,3.15,1.742,,2.6,,,,,,,,,,,,,3.1,,3.945,,3.214,3.285,3.971,,,,,,,,,3.428,2.961,2.84,3.431,3.566,,,,,,,,,,,,14.0,28.0,48.0,66.0,,145.0,,,,,,,,,,,18.0,37.0,,,81.0,154.0,,,,,,,,,,,Good,Good,Good,,Good,,,,,,,,,,,,Religious
746016,Fall 2014,Campus,F,Full-time,,23.0,31.0,31.0,3.77,3.37,221,F,,United States,,75205,0.0,7320.0,N,1,1,,1,N,,,,,,GBUS,UCFY,BADM,N,Y,,,,Y,,,,,,,,,,,3.8,,2.575,,2.0,,,,,,,,,,,,2.421,4.0,1.147,,2.19,,3.537,,,,,,,,,,3.0,3.437,1.952,,,2.167,2.803,,,,,,,,,,13.0,104.0,,,,,,,131.0,,,,,,,,18.0,,51.0,93.0,42.0,,,100.0,,,,,,,,,Good,Good,Good,,Good,Good,Good,,,,,,,,,,Public
7403468,Spring 2022,Campus,F,Full-time,,28.0,30.0,,2.92,4.0,220,M,,United States,1.0,70791,,39388.0,N,0,1,,0,N,,,1.0,,,SPADM,UCFY,HSE,Y,,,,,,,,,,,,,,,,2.74,4.0,,3.4,2.793,3.72,,,,,,,,,4.0,,,2.955,,,,,,4.046,,,,,,,,,3.733,2.836,2.51,2.05,,3.061,,,,,,,,,,,58.0,28.0,42.0,,,,,,,,,,,,,,15.0,50.0,92.0,144.0,,,,,,,,,,,,,Good,Good,,,Good,Good,,,,,,,,,,,
7097293,Fall 2013,Campus,F,Full-time,,23.0,24.0,19.0,3.36,3.14,339,F,,United States,1.0,70817,0.0,,N,0,1,,0,N,,,,,,BIOL,UCFY,SCI,N,,,,,,,,,,,,,,,,2.766,2.2,2.766,,3.075,,2.553,2.5,,,,,,,,,3.46,3.738,3.306,,2.028,1.876,,,,,,,,,,,3.566,2.899,2.261,1.934,,,3.607,,,,,,,,,,15.0,26.0,51.0,64.0,,93.0,,,,146.0,,,,,,,28.0,36.0,111.0,,89.0,,100.0,,,,,,,,,,Good,Good,Good,,,,,Good,,,,,,,,,Public
8298265,Fall 2014,Campus,F,Full-time,,26.0,33.0,22.0,3.13,3.97,224,M,,United States,1.0,70611,6382.0,113551.0,Y,0,0,,0,N,,1.0,1.0,,,ENGRU,UCFY,ENGR,Y,,,,,,,,,,,,,,,,4.075,3.636,2.95,2.675,,2.223,2.937,,,,,,,,,,2.233,3.97,2.883,3.1,,,,3.08,,,,,,,,,1.6,2.5,3.0,3.567,3.308,3.243,,3.63,,,3.1,,,,,,13.0,52.0,66.0,,69.0,,,,,,,,,,,,34.0,13.0,,,,,146.0,,,136.0,,,,,,,Good,Prob,Good,Good,Good,Good,Good,,Good,,,,Good,,,,Religious
9074481,Fall 2022,Campus,F,Full-time,4.0,25.0,23.0,24.0,3.76,,221,F,,United States,1.0,70342,,60850.0,U,1,1,,0,N,,,,,1.0,EEC,UCFY,ENGR,Y,,,,,,Y,,,,,,,,,,4.0,3.5,3.14,2.74,,,2.075,2.746,,,,,,,,,1.6,2.954,3.146,,2.65,,,,2.887,,,,,,,,1.223,3.562,3.352,,3.433,3.574,,1.912,,3.092,,,,,,,15.0,20.0,52.0,59.0,149.0,112.0,,114.0,,,,,,,,,26.0,23.0,56.0,51.0,,81.0,,,133.0,80.0,,,,,,,Good,Good,Good,Good,Good,Good,Good,,,,,,,,,,Public
2080964,Fall 2016,Campus,F,Full-time,5.0,26.0,,,2.84,3.71,216,M,,United States,1.0,92131,1.0,249938.0,N,1,1,,0,N,,,,,,KIN,UCFY,HSE,Y,Y,,,Y,,,,,,,,,,,,2.35,2.923,,4.0,,3.675,,,,,,,,,,,,2.2,,2.083,,,2.479,2.241,,,,,,,,,4.04,2.295,,3.435,3.38,2.171,,,,,,,,,,,16.0,86.1,41.0,,,93.0,124.0,,,,,,,,,,16.0,50.0,,,87.0,99.0,116.0,,,,,124.0,,,,,Good,Good,Good,,Good,Good,Good,Good,Good,Good,,,,,,,Independent
2738922,Fall 2022,Campus,F,Full-time,,24.0,,20.0,3.49,3.81,222,F,,United States,1.0,70739,0.0,90629.0,N,1,1,,0,N,,1.0,,,1.0,KIN,UCFY,HSE,N,Y,,Y,,,,,,,,,,,,,3.575,4.075,3.425,1.806,3.061,3.46,,2.766,,,,,,,,,2.376,3.443,,,3.148,2.63,3.891,,,,,,,,,,2.494,2.738,3.813,,4.0,2.512,,,,,,,,,,,19.0,38.0,79.0,61.0,74.0,,,,,161.0,,,,,,,20.0,60.2,122.0,,99.0,83.0,84.0,,162.0,,,,,,,,Good,Good,,Good,Good,,,,,,,,,,,,Public
1018195,Fall 2016,Campus,T,Full-time,,28.0,31.0,26.0,3.96,3.66,224,F,,United States,1.0,70605,4065.0,767457.0,U,0,1,,0,N,,,1.0,,1.0,MUSAR,MDA,MDA,N,N,,,,,,,,,,,,,,,3.0,3.225,3.0,,,3.4,,,,,,,,,,,3.276,2.625,,,2.685,2.493,,,,,,,,,,,3.706,2.875,3.272,,,,2.892,3.427,,,,,,,,,15.0,35.0,,63.0,,79.0,84.0,110.0,,,,,,,,,74.0,50.0,,101.0,,,,,,,,,,,,,Good,Good,Good,Good,,Good,,Good,,Good,,,,,,,Public
210856,Fall 2011,Campus,F,Full-time,4.0,26.0,26.0,25.0,3.1,3.16,225,M,,United States,,75033,0.0,,Y,0,1,,0,N,1.0,,1.0,,,SPADM,HSE,HSE,N,Y,,,,,,Y,,,,,,,,,2.05,2.425,3.187,1.42,3.37,3.062,3.46,3.392,,,,,,,,,1.75,3.727,,3.47,2.449,,,,,,,,,,,,3.863,3.6,,3.844,2.19,,,,,,,,,,,,12.0,40.0,39.0,67.0,74.0,93.0,,111.0,,,,,,,,,17.0,25.0,67.0,,,,129.0,,124.0,,,,,,,,Good,Good,,,Good,,,Good,,,,,,,,,Public
3774321,Fall 2014,Campus,F,Full-time,7.0,16.0,,22.0,2.98,3.56,222,F,,United States,1.0,70809,,0.0,Y,0,1,,0,N,,1.0,1.0,,,ME,UCFY,ENGR,Y,,,,,,,,,,,,,,,,3.4,2.92,,,3.307,4.229,,,2.35,3.2,,,,,,,2.0,2.5,2.058,3.539,,,,3.043,,,,,,,,,3.654,1.777,3.382,3.07,2.846,3.789,3.171,,,,,,,,,,60.0,39.0,,63.0,63.0,,,,,117.0,,,,,,,34.0,30.0,100.0,77.0,50.0,86.0,,,,,,,,,,,Good,Good,Good,Good,,Good,,Good,,,,,,,,,Independent
750709,Spring 2013,Campus,F,Full-time,4.0,17.0,30.0,24.0,2.46,3.09,227,F,,United States,,77573,107163.0,13847.0,Y,0,1,,0,N,,,,,,PHYS,UCFY,SCI,Y,Y,,,,,,,,,,,,,,,3.0,3.48,3.671,2.784,,3.361,2.54,,,2.584,,,,,,,3.4,3.0,2.1,1.422,,,3.095,3.308,,,,,,,,,3.012,2.434,3.875,4.132,3.617,2.714,2.892,,,2.729,,,,,,,40.0,75.0,,89.0,,96.0,,119.0,,,,,,,,,14.0,46.0,74.0,,149.0,100.0,111.0,,147.0,,,,,,,,Good,,,Good,Good,,,,,,,,,,,,Public
6138760,Fall 2023,Campus,F,Full-time,,17.0,30.0,,3.86,3.59,222,F,,United States,1.0,70810,0.0,161216.0,N,0,0,,0,N,,,,,,PETE,UCFY,ENGR,N,Y,,,,,,,,,,,,,,,4.18,,3.42,,3.069,3.42,1.75,4.06,,,,,,,,,4.171,3.23,2.528,,1.802,2.602,,,,,,,,,,,1.0,3.507,2.893,,2.431,,3.822,2.763,1.422,,,,,,,,14.0,93.0,44.0,67.0,,100.0,96.0,,,,,,,,,,19.0,33.0,,54.0,57.0,,,,,,,,,,,,Good,Good,Good,,Prob,Good,,Good,,,,,,,,,Public
3760046,Fall 2020,Campus,F,Full-time,,25.0,28.0,,2.48,,220,F,,United States,1.0,70126,10030.0,59194.0,N,1,0,,0,N,,,,,,PPT,UCFY,UCAC,N,,Y,,,,,,,,,,,,,,3.437,2.76,1.466,3.825,4.064,3.233,3.06,,,,,,,,,,0.666,3.837,3.032,2.607,,3.207,2.61,,,,,,,,,,2.753,3.906,3.619,3.368,3.322,,3.102,2.795,,,,,,,,,15.0,58.0,44.0,,72.0,,120.0,,,,,,,,,,69.0,45.0,84.0,,54.0,48.0,106.0,,,,,,,,,,Good,Good,Prob,Good,Good,Good,,Good,,,,,,,,,Religious
3028208,Fall 2019,Campus,F,Full-time,,25.0,20.0,26.0,3.42,3.31,223,F,,United States,,77019,27449.0,147353.0,Y,0,1,,0,N,,,,1.0,,MC,UCFY,MCOM,Y,N,,Y,,,,,,,,,,,,,1.4,1.235,3.562,4.1,2.192,0.0,,,,,,,,,,,4.037,3.734,1.69,3.542,,2.325,,2.901,,,,,,,,,3.713,2.689,2.63,2.446,,2.48,,,,,,,,,,,12.0,27.0,60.0,30.0,,,,140.0,,,142.0,,,,,,35.0,37.0,58.0,,107.0,63.0,,116.0,,,,,,,,,Warn,Good,,Warn,Good,Good,,,,,,,,,,,Religious
7789732,Fall 2023,Campus,F,Full-time,,23.0,26.0,26.0,,3.59,266,M,,United States,1.0,70769,,246162.0,N,0,1,,0,N,,1.0,1.0,,,FIN,UCFY,BADM,N,Y,Y,,,,,,,,,,,,,,2.675,0.25,3.925,2.305,2.9,3.48,,2.943,,,,,,,,,4.171,2.666,1.792,2.87,,2.92,,3.059,,,,,,,,,3.671,3.328,,2.378,,3.147,,2.747,,,,,,,,,27.0,,35.0,,,78.0,117.0,,,154.0,,,,,,,13.0,53.0,,63.0,,87.0,,,,,,,,,,,Good,Good,Good,,Good,Good,,Good,,,,,,,,,Public
1088362,Fall 2023,Campus,F,Full-time,,29.0,24.0,25.0,3.28,3.55,224,M,,United States,,98422,0.0,40380.0,N,0,0,,1,N,,,,,,PNURS,UCFY,UCAC,N,N,,,,,,,,,,,,,,,1.5,2.625,3.54,,,,,3.5,,,,,,,,,2.05,3.0,,2.588,,2.408,,,,,,,,,,,4.14,2.2,3.513,3.405,,4.178,3.349,3.401,,,,,,,,,23.0,99.0,46.0,,,,117.0,,141.0,,,,,,,,30.0,,,78.0,111.0,123.0,103.0,83.0,,,,,,,,,Good,Good,,Good,,,,,,,,,,,,,Religious
9612599,Fall 2015,Campus,F,Full-time,,27.0,24.0,33.0,3.14,3.97,224,M,,United States,1.0,70447,9787.0,203913.0,N,1,1,,0,N,,1.0,,,,CHE,UCFY,ENGR,Y,Y,Y,,,,,,,,,,,,,,4.166,,,,3.18,,2.368,,,,,,,,,,3.0,3.326,3.274,2.287,4.124,,3.734,,,,,2.689,,,,,3.671,3.222,,,,,,3.583,,,,,,,,,11.0,37.0,41.0,51.0,,99.0,,105.0,142.0,,,,,,,,34.0,47.0,52.0,75.0,110.0,,,,,,,,,,,,Good,,Good,Good,,Good,,,,,,,,,,,Religious
3028021,Fall 2023,Campus,F,Full-time,5.0,26.0,17.0,29.0,,3.26,216,F,,United States,1.0,70433,40589.0,105467.0,N,0,0,,0,N,,1.0,1.0,,,KIN,UCFY,HSE,N,Y,,,,,,,,,,,,,,,3.28,3.0,3.23,,2.075,,,,,,,,,,,,4.107,2.282,2.485,,3.506,,,2.302,,,,,,3.34,,,1.942,3.114,3.376,,,3.797,,3.223,,,,,,,,,16.0,27.0,40.0,63.0,64.0,84.0,105.0,120.0,,,,,,,,,12.0,,36.0,63.0,96.0,85.0,117.0,,118.0,,,,,,,,Good,Good,Good,Good,Good,,,Good,Good,Good,,,,,,,
951965,Fall 2019,Campus,F,Full-time,4.0,28.0,21.0,23.0,4.0,3.41,223,F,,United States,1.0,70605,0.0,82816.0,N,0,1,,0,N,,,1.0,,,ANMLS,AGRI,AGRI,Y,Y,,,,,,,,,,,,,,,3.2,2.857,,3.092,0.0,2.666,3.976,,,,,,,,,,4.023,3.0,3.379,1.919,,,,,,,,,,,,,3.756,4.127,,2.76,2.915,,,,2.911,,,,,,,,82.0,87.0,45.0,42.0,26.0,91.0,117.0,,,,,,,,,,6.0,,,,,,117.0,,,,,,,,,,Good,Prob,Good,Good,,Good,Good,,,,,,,,,,Public
8744293,Fall 2017,Campus,F,Full-time,,28.0,25.0,23.0,4.0,2.61,219,M,,United States,,70068,0.0,552709.0,,0,0,,0,N,,,1.0,,,BIOL,UCFY,SCI,Y,Y,Y,,,,,,,,,,,,,,3.935,2.207,2.78,,3.35,,,,,,,,,,,,3.3,2.8,3.412,3.589,,,2.609,,,,,,,,,,3.481,3.6,3.913,,,,,3.465,,,,,,,,,13.0,30.0,,,85.0,,129.0,111.0,,,,,,,,,38.0,55.0,,59.0,142.5,,,,,138.0,,,,,,,Good,Good,Good,Good,Good,Good,,,Good,,,,,,,,Public
